method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,1,1 0 4 9 6,0.258809,0.055556,0.9823,10000,1,63.45253,0.979981 0.986577 0.979269 0.982706 0.971926 0.975025 0.985656 0.988577 0.986022 0.988107,0.982385,0.005401,0.971926,0.988577,2.9e-05,0.016651
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,2,2 1 8 4 3,0.063226,0.03422,0.9884,10000,1,126.90506,0.987607 0.991371 0.986180 0.989827 0.981607 0.986014 0.988730 0.990654 0.991398 0.991080,0.988447,0.002993,0.981607,0.991398,9e-06,0.009791
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,3,0 9 1 7 6,0.040434,0.030162,0.9896,10000,1,190.35759,0.991420 0.992330 0.989141 0.991862 0.980639 0.986014 0.988730 0.991693 0.993548 0.991080,0.989646,0.003635,0.980639,0.993548,1.3e-05,0.012909
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,4,8 0 3 5 6,0.03067,0.026727,0.9915,10000,1,253.81012,0.994280 0.992330 0.993090 0.994914 0.983543 0.987013 0.990779 0.993769 0.993548 0.992071,0.991534,0.003409,0.983543,0.994914,1.2e-05,0.01137
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,5,8 6 3 7 4,0.022598,0.026518,0.9913,10000,1,317.26265,0.991420 0.994247 0.993090 0.994914 0.984511 0.988012 0.989754 0.992731 0.993548 0.991080,0.991331,0.003023,0.984511,0.994914,9e-06,0.010402
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,6,4 0 2 5 3,0.023201,0.02462,0.9918,10000,1,380.715179,0.994280 0.994247 0.991115 0.993896 0.985479 0.987013 0.992828 0.993769 0.993548 0.992071,0.991825,0.002965,0.985479,0.99428,9e-06,0.008801
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,7,5 4 2 1 7,0.020356,0.024599,0.9918,10000,1,444.167709,0.992374 0.996165 0.992103 0.993896 0.984511 0.990010 0.992828 0.991693 0.993548 0.991080,0.991821,0.002913,0.984511,0.996165,8e-06,0.011654
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,8,1 9 6 0 2,0.018167,0.024584,0.9925,10000,1,507.620239,0.993327 0.996165 0.992103 0.993896 0.987415 0.990010 0.992828 0.991693 0.994624 0.993062,0.992512,0.002321,0.987415,0.996165,5e-06,0.00875
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,9,5 4 0 9 3,0.014527,0.023455,0.9926,10000,1,571.072769,0.991420 0.996165 0.992103 0.994914 0.985479 0.990010 0.993852 0.993769 0.994624 0.994054,0.992639,0.002937,0.985479,0.996165,9e-06,0.010686
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,10,8 1 6 0 4,0.01224,0.024009,0.9923,10000,1,634.525299,0.992374 0.994247 0.993090 0.994914 0.984511 0.989011 0.991803 0.993769 0.994624 0.995045,0.992339,0.003131,0.984511,0.995045,1e-05,0.010533
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,11,4 5 3 8 0,0.011268,0.023856,0.9927,10000,1,697.977829,0.993327 0.995206 0.993090 0.993896 0.986447 0.991009 0.992828 0.992731 0.994624 0.994054,0.992721,0.002361,0.986447,0.995206,6e-06,0.008759
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,12,0 3 4 9 1,0.009076,0.023755,0.9926,10000,1,761.430359,0.993327 0.994247 0.992103 0.995931 0.986447 0.991009 0.990779 0.993769 0.994624 0.994054,0.992629,0.002566,0.986447,0.995931,7e-06,0.009484
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,13,1 6 4 3 5,0.009984,0.024081,0.9924,10000,1,824.882889,0.993327 0.996165 0.991115 0.994914 0.984511 0.991009 0.992828 0.992731 0.994624 0.993062,0.992429,0.003047,0.984511,0.996165,9e-06,0.011654
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,14,5 2 9 8 1,0.012027,0.022576,0.9925,10000,1,888.335419,0.992374 0.995206 0.992103 0.995931 0.984511 0.991009 0.992828 0.991693 0.994624 0.995045,0.992532,0.003115,0.984511,0.995931,1e-05,0.01142
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,15,4 1 2 9 5,0.008645,0.022985,0.9924,10000,1,951.787949,0.994280 0.995206 0.991115 0.993896 0.984511 0.992008 0.992828 0.991693 0.994624 0.994054,0.992421,0.002933,0.984511,0.995206,9e-06,0.010695
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,16,3 2 7 9 8,0.010983,0.023148,0.9932,10000,1,1015.240479,0.994280 0.995206 0.991115 0.994914 0.986447 0.991009 0.993852 0.995846 0.994624 0.995045,0.993234,0.002752,0.986447,0.995846,8e-06,0.009399
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,17,8 3 5 6 0,0.00999,0.02308,0.9932,10000,1,1078.693008,0.993327 0.996165 0.991115 0.995931 0.986447 0.991009 0.994877 0.994808 0.994624 0.994054,0.993236,0.002813,0.986447,0.996165,8e-06,0.009718
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,18,3 0 5 9 2,0.006657,0.023209,0.9931,10000,1,1142.145538,0.993327 0.996165 0.991115 0.994914 0.986447 0.991009 0.994877 0.994808 0.994624 0.994054,0.993134,0.002731,0.986447,0.996165,7e-06,0.009718
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,19,1 3 5 9 7,0.008269,0.023104,0.9931,10000,1,1205.598068,0.993327 0.996165 0.991115 0.994914 0.986447 0.991009 0.994877 0.994808 0.994624 0.994054,0.993134,0.002731,0.986447,0.996165,7e-06,0.009718
fedprox,mnist,dirichlet,1000,,,10,0.02164,0.014611,20,7 6 9 1 2,0.010684,0.022338,0.9935,10000,1,1269.050598,0.993327 0.995206 0.992103 0.994914 0.986447 0.993007 0.994877 0.995846 0.994624 0.995045,0.99354,0.002606,0.986447,0.995846,7e-06,0.009399
