method,dataset,partition_type,dirichlet_alpha,quantity_beta,feature_sigma,num_clients,partition_mean_pairwise_hellinger,partition_mean_client_to_global_hellinger,round,selected_clients,avg_selected_client_train_loss,global_test_loss,global_test_accuracy,global_test_examples,convergence_round,communication_cost_mb,per_client_accuracy_distribution,per_client_acc_mean,per_client_acc_std,per_client_acc_min,per_client_acc_max,per_client_accuracy_variance,fairness_gap
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,1,1 0 4 9 6,0.049413,2.290525,0.3418,10000,,63.45253,0.366667 0.326087 0.563147 0.817846 0.000000 0.000000 0.000000 0.055957 0.000000 0.000000,0.21297,0.278631,0.0,0.817846,0.077635,0.817846
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,2,2 1 8 4 3,0.078658,2.026745,0.2402,10000,,126.90506,0.166667 0.347167 0.240166 0.010171 0.604600 1.000000 0.069486 0.237665 0.364286 0.000000,0.304021,0.290062,0.0,1.0,0.084136,1.0
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,3,0 9 1 7 6,0.017138,1.418795,0.5057,10000,,190.35759,0.716667 0.569170 0.902692 0.851595 0.522453 0.450000 0.028701 0.034898 0.000000 0.000000,0.407618,0.345487,0.0,0.902692,0.119361,0.902692
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,4,8 0 3 5 6,0.023567,0.823824,0.7,10000,4,253.81012,0.150000 0.523057 0.896480 0.891355 0.814896 0.800000 0.279456 0.868833 0.892857 0.220670,0.63376,0.293371,0.15,0.89648,0.086067,0.74648
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,5,8 6 3 7 4,0.016969,1.6638,0.5428,10000,4,317.26265,0.033333 0.515481 0.257764 0.540915 0.780942 0.975000 0.067976 0.906137 0.992857 0.000000,0.507041,0.377747,0.0,0.992857,0.142693,0.992857
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,6,4 0 2 5 3,0.016434,0.648319,0.798,10000,4,380.715179,0.083333 0.579051 0.898551 0.877947 0.974808 0.975000 0.829305 0.928400 0.978571 0.815642,0.794061,0.262398,0.083333,0.978571,0.068853,0.895238
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,7,5 4 2 1 7,0.010901,1.030461,0.7191,10000,4,444.167709,0.966667 0.946970 0.378882 0.708276 0.956188 1.000000 0.611782 0.419374 0.921429 0.603352,0.751292,0.225725,0.378882,1.0,0.050952,0.621118
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,8,1 9 6 0 2,0.005006,0.700463,0.7978,10000,4,507.620239,0.950000 0.951910 0.968944 0.932039 0.906900 0.975000 0.530211 0.356197 0.685714 0.483240,0.774016,0.225831,0.356197,0.975,0.051,0.618803
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,9,5 4 0 9 3,0.010986,0.303389,0.9018,10000,4,571.072769,0.366667 0.793808 0.959627 0.974110 0.968237 0.950000 0.924471 0.936221 0.964286 0.913408,0.875083,0.176618,0.366667,0.97411,0.031194,0.607443
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,10,8 1 6 0 4,0.007946,0.632989,0.7571,10000,4,634.525299,0.966667 0.922266 0.939959 0.937124 0.847755 0.800000 0.093656 0.476534 0.735714 0.041899,0.676157,0.333531,0.041899,0.966667,0.111243,0.924767
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,11,4 5 3 8 0,0.012694,0.44814,0.8701,10000,4,697.977829,0.066667 0.719368 0.910973 0.964864 0.906900 0.925000 0.944109 0.953069 0.978571 0.935754,0.830527,0.263822,0.066667,0.978571,0.069602,0.911905
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,12,0 3 4 9 1,0.008943,0.221661,0.9321,10000,4,761.430359,0.850000 0.950922 0.947205 0.972261 0.950712 0.975000 0.688822 0.972323 0.978571 0.695531,0.898135,0.108864,0.688822,0.978571,0.011851,0.28975
fedprox,mnist,dirichlet,0.03,,,10,0.930054,0.770416,13,1 6 4 3 5,0.00434,0.352741,0.8724,10000,4,824.882889,0.750000 0.934124 0.487578 0.816921 0.925520 0.950000 0.950151 0.972924 0.992857 0.941341,0.872142,0.14636,0.487578,0.992857,0.021421,0.50528
